id,title,type,description,tags,author,status
FB-1036844829507460_122167037169072582,🙅👎🙅‍♂,meme,🙅👎🙅‍♂  #UniverseSentMe #EvanUSM #humor #memes #Cocina,"#UniverseSentMe, #EvanUSM, #humor, #memes, #Cocina",Universe Sent Me,aprobado
FB-1036844829507460_122161629201072582,Con chilito y cacahuates 🤤🤤,meme,Con chilito y cacahuates 🤤🤤  #UniverseSentMe #humor #ElaraUSM #memes #michelada,"#UniverseSentMe, #humor, #ElaraUSM, #memes, #michelada",Universe Sent Me,aprobado
FB-1036844829507460_122160650193072582,🙃,meme,🙃  #UniverseSentMe #SilvioUSM #memes #humoacido,"#UniverseSentMe, #SilvioUSM, #memes, #humoacido",Universe Sent Me,aprobado
FB-1036844829507460_122166672393072582,Tenias tanto que dar...,meme,Tenias tanto que dar...   #UniverseSentMe #UniverseUSM,"#UniverseSentMe, #UniverseUSM",Universe Sent Me,aprobado
FB-1036844829507460_122160833001072582,Ahorita no papito u.u,meme,Ahorita no papito u.u  #UniverseSentMe #ElaraUSM  #humor,"#UniverseSentMe, #ElaraUSM, #humor",Universe Sent Me,aprobado
FB-1036844829507460_122167036845072582,Chipitillo lo dijo...,meme,Chipitillo lo dijo...  #UniverseSentMe #humor #memes #amorpropio,"#UniverseSentMe, #humor, #memes, #amorpropio",Universe Sent Me,aprobado
FB-1036844829507460_122162634249072582,🐨💤🕑🖕,meme,🐨💤🕑🖕  #UniverseSentMe #humor #memes #UniverseUSM,"#UniverseSentMe, #humor, #memes, #UniverseUSM",Universe Sent Me,aprobado
FB-1036844829507460_122164685163072582,🥲,meme,🥲,#UniverseSentMe,Universe Sent Me,aprobado
FB-1036844829507460_122165157021072582,ok bye 🤩,meme,ok bye 🤩  #UniverseSentMe #bye #ElaraUSM #humor,"#UniverseSentMe, #bye, #ElaraUSM, #humor",Universe Sent Me,aprobado
FB-1036844829507460_122164739517072582,🥴,meme,🥴  #UniverseSentMe #humor #memes #UniverseUSM,"#UniverseSentMe, #humor, #memes, #UniverseUSM",Universe Sent Me,aprobado
FB-1036844829507460_122164020651072582,👀😮‍💨,meme,👀😮‍💨  #UniverseSenMe #humor #memes #UniverseUSM,"#UniverseSenMe, #humor, #memes, #UniverseUSM",Universe Sent Me,aprobado
FB-1036844829507460_122167021017072582,😌,meme,😌  #UniverseSentMe,#UniverseSentMe,Universe Sent Me,aprobado
FB-1036844829507460_122162634561072582,🥱💅,meme,🥱💅  #UniverseSentMe #humor #MaeveUSM #memes,"#UniverseSentMe, #humor, #MaeveUSM, #memes",Universe Sent Me,aprobado
FB-1036844829507460_122161637985072582,¿De donde sacas tantas fuerzas?,meme,¿De donde sacas tantas fuerzas?  #UniverseSentMe #humor #EvanUSM #memes,"#UniverseSentMe, #humor, #EvanUSM, #memes",Universe Sent Me,aprobado
FB-1036844829507460_122166669009072582,🤷‍♂️,meme,🤷‍♂️  #UniverseSentMe #EvanUSM #humor #memes #Mentirosa,"#UniverseSentMe, #EvanUSM, #humor, #memes, #Mentirosa",Universe Sent Me,aprobado
FB-1036844829507460_122166752877072582,Si muero de congestión pozolica...,meme,Si muero de congestión pozolica...  #UniverseSentMe #humor #pozole #memes #UniverseUSM,"#UniverseSentMe, #humor, #pozole, #memes, #UniverseUSM",Universe Sent Me,aprobado
FB-1036844829507460_122162634711072582,🤡🤡🤡,meme,🤡🤡🤡  #UniverseSentMe #humor #SilvioUSM #memes,"#UniverseSentMe, #humor, #SilvioUSM, #memes",Universe Sent Me,aprobado
FB-1036844829507460_122166030927072582,🤥,meme,🤥,#UniverseSentMe,Universe Sent Me,aprobado
FB-1036844829507460_122164228311072582,😏,meme,😏  #UniverseSentMe #EvanUSM #memes #humor,"#UniverseSentMe, #EvanUSM, #memes, #humor",Universe Sent Me,aprobado
FB-1036844829507460_122163463011072582,🫣,meme,🫣  #UniverseSentMe #KaelUSM #humor #memes #Yo,"#UniverseSentMe, #KaelUSM, #humor, #memes, #Yo",Universe Sent Me,aprobado
FB-1036844829507460_122165157219072582,ok u.u,meme,ok u.u  #UniverseSentMe #humor #maeveusm,"#UniverseSentMe, #humor, #maeveusm",Universe Sent Me,aprobado
FB-1036844829507460_122167036521072582,😌 bue...,meme,😌 bue...  #UniverseSentMe #humor #memes #EvanUSM #ElaraUSM,"#UniverseSentMe, #humor, #memes, #EvanUSM, #ElaraUSM",Universe Sent Me,aprobado
FB-1036844829507460_122166674871072582,Yo hoy...,meme,Yo hoy...   #UniverseSentMe #pozole #humor #memes #Grito,"#UniverseSentMe, #pozole, #humor, #memes, #Grito",Universe Sent Me,aprobado
FB-1036844829507460_122164730739072582,Que alguien me detenga!!,meme,Que alguien me detenga!!  #UniverseSentMe #humor #EvanUSM #memes #lovebombing,"#UniverseSentMe, #humor, #EvanUSM, #memes, #lovebombing",Universe Sent Me,aprobado
FB-1036844829507460_122164176081072582,😌😌,meme,😌😌  #UniverseSentMe #MaeveUSM #Libre,"#UniverseSentMe, #MaeveUSM, #Libre",Universe Sent Me,aprobado
FB-1036844829507460_122163566133072582,👻🐈‍⬛,reel,👻🐈‍⬛   #UniverseSentMe #fantasmaUSM #UniverseUSM #gorillaz #littledragon,"#UniverseSentMe, #fantasmaUSM, #UniverseUSM, #gorillaz, #littledragon",Universe Sent Me,aprobado
FB-1036844829507460_122162210433072582,Post 2026-09-09,reel,#UniverseSentMe,#UniverseSentMe,Universe Sent Me,aprobado
FB-1036844829507460_122167027977072582,Sexy boy - Air,reel,Sexy boy - Air Tribute  #UniverseSentMe #music,"#UniverseSentMe, #music",Universe Sent Me,aprobado
FB-1036844829507460_122164760133072582,Post 2026-09-13,meme,Publicación meme sin texto,#UniverseSentMe,Universe Sent Me,aprobado
FB-1036844829507460_122161648605072582,😎😎,meme,😎😎  #UniverseSentMe #humor #MaeveUSM #memes #corazon,"#UniverseSentMe, #humor, #MaeveUSM, #memes, #corazon",Universe Sent Me,aprobado
FB-1036844829507460_122167072311072582,😳,meme,😳,#UniverseSentMe,Universe Sent Me,aprobado
FB-1036844829507460_122161372593072582,😎 al fin casa sola!,meme,😎 al fin casa sola!   #UniverseSentMe #UniverseUSM #memes #humor,"#UniverseSentMe, #UniverseUSM, #memes, #humor",Universe Sent Me,aprobado
FB-1036844829507460_122167235463072582,Post 2026-09-17,reel,#UniverseSentMe #WilfredUSM,"#UniverseSentMe, #WilfredUSM",Universe Sent Me,aprobado
FB-1036844829507460_122167036707072582,😌☕✨🫶,meme,😌☕✨🫶  #UniverseSentMe #WilfredUSM #cafe,"#UniverseSentMe, #WilfredUSM, #cafe",Universe Sent Me,aprobado
FB-1036844829507460_122164759413072582,😎,meme,😎,#UniverseSentMe,Universe Sent Me,aprobado
FB-1036844829507460_122160920355072582,"Estoy listo... cuando tú quieras, Alexa.",meme,"Estoy listo... cuando tú quieras, Alexa.   #UniverseSentMe #memes #humor #gatos","#UniverseSentMe, #memes, #humor, #gatos",Universe Sent Me,aprobado
FB-1036844829507460_122160913785072582,Listen Baby...,reel,Listen Baby...   #UniverseSentMe #fantasmaUSM,"#UniverseSentMe, #fantasmaUSM",Universe Sent Me,aprobado
FB-1036844829507460_122163092307072582,Post 2026-09-10,reel,#UniverseSentMe #lowhum #ElaraUSM #music,"#UniverseSentMe, #lowhum, #ElaraUSM, #music",Universe Sent Me,aprobado
FB-1036844829507460_122166671385072582,🥴🫠🫣,meme,🥴🫠🫣  #UniverseSentMe #MaeveUSM #humor #memes #GPT,"#UniverseSentMe, #MaeveUSM, #humor, #memes, #GPT",Universe Sent Me,aprobado
FB-1036844829507460_122164160199072582,Post 2026-09-11,meme,Publicación meme sin texto,#UniverseSentMe,Universe Sent Me,aprobado
